No.,Kode Barang,Nama Barang,Satuan,Saldo di Sistem,
256,1010304004000053,Toner Cyan,buah,0,
257,1010304004000054,Cartridge Toner CF280A,buah,0,
258,1010304004000055,Tinta warna biru,botol,0,
259,1010304004000056,Tinta warna merah,botol,0,
260,1010304004000057,Tinta warna kuning,botol,0,
261,1010304004000058,Tinta warna hitam,botol,0,
262,1010304004000059,Refill Toner printer HP Laserjet M507,buah,0,
263,1010304004000060,Tinta Epson 003 Hitam,botol,0,
264,1010304004000061,Tinta Epson 003 Biru,botol,0,
265,1010304004000062,Tinta Epson 003 Merah,botol,0,
266,1010304004000063,Tinta Epson 003 Kuning,botol,0,
267,1010304004000064,Tinta Epson 6643 Merah,botol,0,
268,1010304004000065,Tinta Epson 6644 Kuning,botol,0,
269,1010304004000066,Tinta Epson 6642 Biru,botol,0,
270,1010304004000067,Tinta Canon PG 810,buah,0,
271,1010304004000068,Tinta Canon CL 811,buah,0,
272,1010304004000069,Qualiva Toner Cartridge HP 89A,Unit,0,
273,1010304004000070,Qualiva Toner Cartridge HP 80A,buah,0,
274,1010304004000071,Tinta Epson 001 (C.Y.M.K),Set,0,
275,1010304004000072,Tinta Epson Inf T,unit,0,
276,1010304004000073,Tinta Epson 003-K,unit,0,
277,1010304004000074,Eton Toner 89A,unit,0,
278,1010304004000075,Eton Toner 80A,unit,0,
279,1010304004000076,Tinta Epson 001-BK,botol,5,
280,1010304004000077,Tinta Epson 744-BK,botol,0,
